Title,Coordinates,State,City,Iframe Link
JERRYS VALET FORMER,"-74.221113,40.391893,0",NEW JERSEY,ABERDEEN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006082381
"NJDOT BRIDGE BLASTING PAINTING STRUCTURE #1313-161, 1313-162","-74.230043,40.430724,0",NEW JERSEY,ABERDEEN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071061897
SOUTH RIVER METAL PRODUCTS CO,"-74.22946,40.409,0",NEW JERSEY,ABERDEEN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110014850642
FORMER STRATHMORE CLEANERS,"-74.22755,40.39883,0",NEW JERSEY,ABERDEEN TOWNSHIP,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070680887
ROY OLSEN'S WAREHOUSE,"-74.21255,40.41928,0",NEW JERSEY,ABERDEEN TWP,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064377954
CALIFORNIA COMMONS,"-74.51898,39.41676,0",NEW JERSEY,ABSECON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110044214506
ALLAMUCHY BRIDGE PAINTING,"-74.811293,40.916675,0",NEW JERSEY,ALLAMUCHY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110020481450
COLLAGEN MATRIX INC,"-74.11862,41.03952,0",NEW JERSEY,ALLENDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064493301
DICON TECHNOLOGIES @ ALLENDALE IND PK,"-74.11862,41.03952,0",NEW JERSEY,ALLENDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032127311
FUJI HUNT PHOTOGRAPHIC CHEMICALS INC,"-74.11494,41.03632,0",NEW JERSEY,ALLENDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110004268710
LONZA INC.,"-74.11598,41.03886,0",NEW JERSEY,ALLENDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110029969728
OSTEONICS CORP @ ALLENDALE IND PK,"-74.11523,41.04313,0",NEW JERSEY,ALLENDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000802999
ALLENTOWN INC,"-74.540764,40.171004,0",NEW JERSEY,ALLENTOWN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110014951285
RALPH CLAYTON & SONS,"-74.53273,40.17002,0",NEW JERSEY,ALLENTOWN,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002450749
GI APPAREL INC,"-74.100575,40.155355,0",NEW JERSEY,ALLENWOOD,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000917189
SALEM COUNTY SOLID WASTE FACILITY,"-75.3697,39.5879,0",NEW JERSEY,ALLOWAY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001545855
SPECTRA GASES INC @ ALPHA IND PK,"-75.146671,40.663952,0",NEW JERSEY,ALPHA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110015011468
EXXON MOBIL RESEARCH & ENGINEERING CO,"-74.870291,40.642151,0",NEW JERSEY,ANNANDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110022481866
N HUNTERDON RGNL HIGH SD N HUNTERDON HIGH SCHOOL,"-74.881486,40.6295,0",NEW JERSEY,ANNANDALE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110022002134
ALLGRIND PLASTICS INC,"-75.04603,40.663223,0",NEW JERSEY,ASBURY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110009836507
1216 SPRINGWOOD AVENUE,"-74.02152,40.21512,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110040211598
1219 SPRINGWOOD AVENUE,"-74.02179,40.21514,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032548205
1322 SPRINGWOOD AVENUE,"-74.02313,40.21524,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070354520
1400 SPRINGWOOD AVENUE,"-74.0234,40.21526,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071089518
1407 SPRINGWOOD AVE,"-74.02365,40.21529,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110030687102
1505 SPRINGWOOD AVENUE,"-74.02511,40.2154,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110024783000
61-63 RIDGE AVENUE,"-74.02453,40.21459,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070225933
801 MAIN STREET,"-74.01179,40.22038,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070354521
ANGLO AMERICAN VARNISH CO INC,"-74.047603,40.244457,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110004136587
ASBURY PARK WATER QUALITY CENTRAL FACILITY,"-73.99222,40.227057,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002342965
FLEXCRAFT CO,"-74.01261,40.22055,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000804336
PULTE GROUP,"-74.000413,40.224858,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071680371
SPRINGWOOD NORTH,"-74.01566,40.21486,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070556210
SPRINGWOOD SOUTH,"-74.017235,40.214518,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070556216
"TERRISS CONSOLIDATED INDUSTRIES, INC.","-74.01293,40.21822,0",NEW JERSEY,ASBURY PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110067064205
"1000 BOARDWALK, LLC","-74.41989,39.35877,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001529196
425 NORTH MARYLAND AVENUE,"-74.4258,39.37056,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046368444
AC OCEAN WALK LLC DBA OCEAN RESORT CASINO,"-74.41345,39.36176,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070559660
ACM ENERGY PARTNERS LLC (FKA: THERMAL ENERGY - MIDTWN THRML CNTRL CTR),"-74.433306,39.358028,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110045943761
ALLEGRA,"-74.42621,39.37947,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071214833
ALTMAN FIELD EXPANSION,"-74.412272,39.367132,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046368505
ATLANTIC CNTY UTIL AUTH CITY ISLAND WWTP,"-74.45101,39.377,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070828272
ATLANTIC COUNTY UTILITIES AUTHORITY POTW,"-74.45342,39.37774,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000734411
BOARDWALK HALL EAST,"-74.438391,39.354905,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063860166
BUNGALOW PARK,"-74.42258,39.3696,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046368499
ENCLAVE SITE,"-74.454514,39.348392,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071089313
FALSANO DEVELOPMENT,"-74.42649,39.35842,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071089309
FORMER MOTOR VEHICLE INSPECTION STATION,"-74.42543,39.370098,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039547746
GARDNER'S BASIN PARK,"-74.41871,39.37676,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071089308
GARWOOD MILLS/STARNS PROPERTY,"-74.417439,39.37499,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039547719
MANHATTAN CLEANERS TAILORS,"-74.438942,39.357816,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110004150089
MANSION PROPERTY,"-74.4245,39.3624,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071089503
MISSOURI AVENUE ENERGY CENTER,"-74.4442,39.3662,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006182013
NEW THIRD WARD PARK,"-74.43314,39.36371,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046368514
NEW YORK AVENUE FORCE MAINS,"-74.43746,39.37508,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110044824624
PUBLIC SAFETY BUILDING,"-74.44507,39.35526,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110004252647
RESORTS ATLANTIC CITY,"-74.421374,39.358207,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110015099551
RIVERSIDE DRIVE PROPERTY_1,"-74.447994,39.375993,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039547693
RIVERSIDE DRIVE PROPERTY_2,"-74.44715,39.37603,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046368523
SOUTH JERSEY GAS FLORIDA AVENUE FORMER MGP,"-74.444755,39.360424,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070121916
TEXAS AVE SCHOOL PARKING AREA,"-74.44439,39.35788,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038733706
THIRD WARD PARK,"-74.42996,39.36497,0",NEW JERSEY,ATLANTIC CITY,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038737132
STR0828-174,"-75.145983,39.697145,0",NEW JERSEY,AURA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038859599
NJAW - 38TH STREET WATER STORAGE TANK,"-74.72729,39.09076,0",NEW JERSEY,AVALON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043551199
CAPE MAY CNTY,"-74.69722,39.15178,0",NEW JERSEY,AVALON BORO,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110029394260
COLONIAL PIPELINE CO - LINDEN JUNCTION,"-74.252173,40.574938,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110014866118
CONTINENTAL PLASTICS CO CHEMICALS INC,"-74.27484,40.58879,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001534411
DANA TRANSPORT INC-AVENEL,"-74.26373,40.57287,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000865939
ECOLAB INC.,"-74.256778,40.577389,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110041971532
ELECTRIC BOAT CORP,"-74.27346,40.579264,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001134399
ESSEX COATINGS CO,"-74.26274,40.57516,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038859660
"GENTEK BUILDING PRODUCTS, INC.","-74.254772,40.595252,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000319236
GRAY ENVELOPE MFG CO INC,"-74.262342,40.575628,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110001534661
INDUSTRIAL BUILDING @ 7A 7B TERMINAL WAY,"-74.261752,40.592213,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032266544
LANCASTER CO,"-74.26697,40.59333,0",NEW JERSEY,AVENEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110054850906
