Title,Coordinates,State,City,Iframe Link
FORMER ALASKA NATIVE SERVICE HOSPITAL,"-149.870292,61.220408,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070789792
FORMER BLUEBERRY ELECTRICAL SUBSTATION,"-149.89061,61.19529,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070556276
FORMER FAIRVIEW ELECTRICAL SUBSTATION,"-149.870464,61.21066,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070523656
FORMER MT. VIEW ELECTRICAL SUBSTATION,"-149.80824,61.20931,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070523655
FRONTIER DRILL SHIP,"-149.8866,61.18744,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110040633473
GEORGE M SULLIVAN GENERATION PLANT 2,"-149.713236,61.230348,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110007236981
GRANITE CONSTRUCTION COMPANY,"-149.87517,61.11738,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063861021
GRANITE POINT TANK FARM,"-151.422,61.0186,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071222420
HANK NIKKELS PLANT ONE,"-149.8661,61.2218,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110021331664
"INLET ENERGY, LLC ANCHORAGE WAREHOUSE","-149.84622,61.22345,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071044224
INLET PERTROLEUM ANCHORAGE,"-149.888143,61.231236,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000491744
INSULFOAM FACILITY,"-149.892035,61.226217,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110031469408
JOHN M ASPLUND WASTE WATER CONTROL FACILITY,"-150.023509,61.196425,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000523595
JOHNS MOTEL AND RV PARK,"-149.81465,61.22413,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043425193
KATHY O MOBILE HOME PARK,"-149.89796,61.186646,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070616025
KNIK ARM POWER PLANT,"-149.882128,61.224049,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110014328487
KULLUK DRILLING UNIT,"-149.8866,61.18744,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043428065
L & L MOBILE HOME PARK,"-149.90228,61.18609,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070671427
"MEDLINE INDUSTRIES, LP B34","-149.87891,61.13893,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071537644
MOA BROTHER FRANCIS SHELTER SITE DEC UST FACILITY ID: 2957,"-149.891383,61.212465,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070118935
MOUNTAIN VIEW SUBDIVISION,"-149.78103,61.22624,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038752711
MULDOON ESTATES - TRACT A,"-149.731143,61.208994,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110024273748
NRC ALASKA,"-149.87244,61.2227,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691274
NRC ALASKA,"-149.842379,61.223806,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110003037035
OCEAN DOCK TERMINAL AND ANCHORAGE TERMINAL II,"-149.893094,61.229579,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000491735
OLSONS GAS,"-149.90893,61.18764,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010647238
PEACOCK CLEANERS,"-149.837454,61.179629,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032960062
PETRO STAR INC DBA NORTH PACIFIC FUEL - KODIAK,"-149.88661,61.18497,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070243097
PETRO STAR INC POA TERMINAL,"-149.88793,61.23422,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071077564
PORT OF ALASKA TERMINAL (FORMERLY ANCHORAGE TERMINAL I),"-149.887255,61.234768,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000498131
PROVIDENCE ANNEX,"-149.828566,61.187958,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110022404575
PURCELL TIRE AND SERVICE CENTER,"-149.82773,61.22361,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070118942
RESIDENTIAL LOTS (NEAR 825 L STREET),"-149.90164,61.21418,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070556373
"SIX MILE, LLC","-149.862032,61.19366,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070516257
SOUTH PARK ESTATE TC,"-149.89796,61.1934,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110012954213
SPENARD AREA,"-149.905906,61.188228,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063698985
SURF LAUNDRY,"-149.809,61.22414,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070261924
"TESORO LOGISTICS OPERATIONS GP, LLC, ANCHORAGE TERMINAL 2","-149.88684,61.23497,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070747280
TOZIER TRACK,"-149.816965,61.179486,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071162765
TRACT 6 TUDOR MUNICIPAL CAMPUS,"-149.792562,61.17661,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071162766
TRADING BAY PRODUCTION FACILITY II,"-151.78917,60.81611,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071236533
UNIVAR USA,"-149.871824,61.129407,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000491762
USDLA ANCHORAGE FUEL SUPPORT POINT,"-149.889715,61.233542,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110003044152
WILHOUR AND WARNER TRUST PROPERTIES,"-149.81801,61.22299,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110043637473
WIZARD WASH TESORO STATION,"-149.80181,61.22421,0",ALASKA,ANCHORAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110060781872
GREENS CREEK MINE,"-134.641206,58.081802,0",ALASKA,ANGOON,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032882735
ANVIK COMMERCIAL COMPANY TANK FARM,"-160.20597,62.65575,0",ALASKA,ANVIK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110056394003
AVEC ANVIK OLD GENERATOR SITE,"-160.20741,62.65593,0",ALASKA,ANVIK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110042229978
ARCTIC VILLAGE AIRPORT,"-145.574012,68.112372,0",ALASKA,ARCTIC VILLAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038072643
ARCTIC VILLAGE PUBLIC HEALTH SERVICE BUILDING SITE,"-145.535631,68.125936,0",ALASKA,ARCTIC VILLAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110054636667
ARCTIC VILLAGE SCHOOL,"-145.49833,68.11995,0",ALASKA,ARCTIC VILLAGE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070354582
ATMAUTLUAK COMMUNITY TUNDRA POND DUMP,"-162.273056,60.866944,0",ALASKA,ATMAUTLUAK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038758519
BEAVER GENERATOR BUILDING FIRE,"-147.40018,66.36043,0",ALASKA,BEAVER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110042230537
BETHEL POWER PLANT,"-161.79,60.7887,0",ALASKA,BETHEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110013912365
CROWLEY MARINE SERVICES BETHEL,"-161.68,60.788172,0",ALASKA,BETHEL,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110054100487
BUCKLAND PROTOTYPE HOME,"-161.128805,65.97887,0",ALASKA,BUCKLAND,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063210822
CHALKYITSIK ILLEGAL DUMP SITE,"-143.740289,66.654976,0",ALASKA,CHALKYITSIK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064564840
CHEVAK OLD SCHOOL,"-165.586389,61.527778,0",ALASKA,CHEVAK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064564788
OLD CHEVAK POWER PLANT,"-165.585857,61.526792,0",ALASKA,CHEVAK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110069455262
TRIDENT SEAFOODS CHIGNIK FACILITY,"-158.386899,56.2963,0",ALASKA,CHIGNIK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110045587673
TRIDENT SEAFOODS CHIGNIK SUPPORT FACILITY,"-158.404,56.2947,0",ALASKA,CHIGNIK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070627299
COLUMBIA WARD FISHERIES FACILITY,"-158.59756,56.316756,0",ALASKA,CHIGNIK LAKE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038758449
MINK CREEK,"-149.47909,61.38978,0",ALASKA,CHUGIAK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071090459
YUKON TRADING POST,"-144.06275,65.82575,0",ALASKA,CIRCLE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070616089
USAF CLEAR AIR FORCE STATION,"-149.16138,64.29136,0",ALASKA,CLEAR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002151340
OSPREY PLATFORM,"-151.532278,60.927263,0",ALASKA,COOK INLET,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110032616612
ALASKA SAFE LLC,"-145.76658,60.54245,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070864194
"COPPER RIVER HIGHWAY, MILE 13-14 ILLEGAL LANDFILL","-145.285029,60.46049,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070205680
CORDOVA WASTEWATER TREATMENT PLANT,"-145.777899,60.535843,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010588603
JUMPING SALMON LODGE CHENEGA BAY,"-145.761095,60.54505,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071162690
OBI SEAFOODS - CORDOVA FACILITY,"-145.765,60.5485,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070836957
OCEAN BEAUTY SEAFOODS CORDOVA,"-145.762718,60.549373,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110055374722
ORCA POWER PLANT,"-145.754,60.554062,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110017716845
TRIDENT SEAFOODS CORDOVA NORTH PLANT,"-145.76775,60.55022,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110071280040
TRIDENT SEAFOODS CORDOVA SOUTH,"-145.76245,60.544519,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006618437
TRIDENT SEAFOODS NORTH CORDOVA PROCESSING,"-145.764794,60.548982,0",ALASKA,CORDOVA,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110041623507
CRAIG POWER GENERATING STATION,"-133.14655,55.475569,0",ALASKA,CRAIG,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110002003233
BAROID MUD PLT,"-148.381916,70.233946,0",ALASKA,DEADHORSE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070618277
DEADHORSE FACILITY,"-148.413062,70.226275,0",ALASKA,DEADHORSE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110063145733
LIBERTY SATELLITE DRILLING ISLAND,"-147.5872,70.2742,0",ALASKA,DEADHORSE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039160822
TNSG NORTH POWER PLANT,"-148.3838,70.234034,0",ALASKA,DEADHORSE,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110057109043
UTICA MINE SITE,"-162.991944,65.910278,0",ALASKA,DEERING,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038751035
ALYESKA TAPS PUMP STATION 09,"-145.880235,63.625257,0",ALASKA,DELTA JUNCTION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064041843
ALYESKA TAPS PUMP STATION 10,"-145.76776,63.424799,0",ALASKA,DELTA JUNCTION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064040470
DELTA JUNCTION TRESPASS SHOOTING RANGE,"-145.738988,64.062741,0",ALASKA,DELTA JUNCTION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070616091
DELTA POWER PLANT,"-145.719818,64.027684,0",ALASKA,DELTA JUNCTION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039600624
HC CONTRACTORS CMI PVM-9X MOBILE ASPHALT PLANT,"-145.101113,63.861511,0",ALASKA,DELTA JUNCTION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110037574728
POGO MINE,"-144.939623,64.449722,0",ALASKA,DELTA JUNCTION,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110009058802
DENALI NATIONAL PARK AND PRESERVE,"-148.921158,63.733268,0",ALASKA,DENALI NATIONAL PARK,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110046371626
DILLINGHAM POWER PLANT,"-158.469168,59.043126,0",ALASKA,DILLINGHAM,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110013682318
SANDY BEACH,"-134.387555,58.272708,0",ALASKA,DOUGLAS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064566009
ALLIANCE STEEL CONS ASPHALT PLANT SRU M,"-166.536496,53.890803,0",ALASKA,DUTCH HARBOR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039227468
DUTCH HARBOR,"-166.53301,53.89213,0",ALASKA,DUTCH HARBOR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070881784
DUTCH HARBOR POWER PLANT,"-166.53787,53.892656,0",ALASKA,DUTCH HARBOR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064048926
ROYAL ALEUTIAN SEAFOODS,"-166.537344,53.890531,0",ALASKA,DUTCH HARBOR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006794843
UNISEA DUTCH HARBOR,"-166.551511,53.878067,0",ALASKA,DUTCH HARBOR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110064064408
"WESTWARD SEAFOODS, INC.","-166.555191,53.85714,0",ALASKA,DUTCH HARBOR,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006618614
EAGLE RIVER WWTP,"-149.592708,61.321108,0",ALASKA,EAGLE RIVER,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110010112289
EIELSON AIR FORCE BASE,"-147.087742,64.668863,0",ALASKA,EIELSON AFB,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110041255003
ELIM OLD AVEC TANK FARM,"-162.26367,64.61607,0",ALASKA,ELIM,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110060781961
ELIM OLD CITY SHOP,"-132.52244,55.684928,0",ALASKA,ELIM,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110044761825
APMA 9156-GIL EXPLORATION SITE,"-147.483,64.91909,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070502882
"BRENNTAG PACIFIC, INC","-147.742338,64.804287,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000517940
"C & R PIPE AND STEEL, INC.","-147.696676,64.811895,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070690125
CHENA POWER PLANT,"-147.734742,64.847528,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110041255012
FAIRBANKS - WEEKS FIELD,"-147.741034,64.83705,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038758500
FAIRBANKS CITY LANDFILL SITE,"-147.99144,64.861392,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110038748362
FAIRBANKS INTERNATIONAL AIRPORT,"-147.867934,64.818014,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000885891
FAIRBANKS PETROLEUM TERMINAL,"-147.884914,64.811292,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110000491780
FAIRBANKS POWER PLANT,"-147.719851,64.853807,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110024518805
FORMER POLARIS HOTEL,"-147.71732,64.84417,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070069114
FORT KNOX MINE,"-147.358107,64.99953,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110003037883
GOLDEN HEART UTILITIES WWTP,"-147.773913,64.802789,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110039716117
LYNDEN TRANSPORT FAIRBANKS SERVICE CENTER,"-147.774793,64.817986,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110013312138
NORTH SIDE DEVELOPMENT,"-147.68618,64.8599,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070691636
NOYES SLOUGH,"-147.804115,64.841495,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110042111096
PETRO STAR INC. FAIRBANKS TERMINAL,"-147.764825,64.85153,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110070667557
TRUE NORTH MINE,"-147.55888,65.04472,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110006852478
UNIVERSAL RECYCLING SITE,"-147.71336,64.806721,0",ALASKA,FAIRBANKS,https://ofmpub.epa.gov/frs_public2/national_kml.registry_html?p_registry_id=110031375330
